target_word,true_count
jewelry,25
contestant,19
fruit,42
money,36
herb,50
night,15
story,12
family,17
article,23
effort,15
sport,32
primate,21
dress,22
creativity,29
tree,20
cleaner,22
odor,26
bird,34
difficulty,33
advertisement,30
executive,17
vapor,17
assistant,27
drink,33
musician,34
student,13
customer,7
message,34
illness,20
bread,39
conflict,23
flower,38
coin,19
contract,8
organ,26
child,11
income,26
jacket,19
fuel,32
bedding,0
injury,30
medicine,18
dream,25
hotel,22
writer,24
treaty,11
liquor,41
boat,35
science,26
hat,43
speech,21
citrus,39
appliance,41
room,35
failure,25
color,38
welfare,12
sign,19
opinion,0
pasta,41
shape,20
entry,14
building,19
food,16
computer,16
partner,5
profession,1
soup,29
meat,34
cloth,39
ceremony,17
performer,31
