SUPERORDINATE,SUBORDINATE,SIM,FREQ1,FREQ2,LEN1,LEN2,PSEUDO1,PSEUDO2
CONTESTANT,WINNER,0.538145125,1903,33303,10,6,COSNETTANT,RINWEN
COIN,PENNY,0.477324635,9392,13349,4,5,NOIC,NEPNY
FUEL,COAL,0.489196956,45883,20965,4,4,LUFE,CALO
MUSICIAN,SINGER,0.82213515,9445,22548,8,6,IMSUNIAC,RIGENS
ORGAN,KIDNEY,0.475383699,9759,8467,5,6,GONAR,KINEDY
ARTICLE,EDITORIAL,0.620391846,134726,18969,7,9,CATILRE,ODIATRIEL
FAMILY,MARRIAGE,0.483579069,440676,86754,6,8,FLYIMA,GARRAMIE
SHAPE,CIRCLE,0.460676789,56562,37020,5,6,SAPHE,CRICEL
ENTRY,DOOR,0.188143089,28683,210164,5,4,TENRY,ROOD
DRESS,GOWN,0.760519683,53507,6713,5,4,SERDS,WONG
CONFLICT,ARGUMENT,0.592227519,52738,69231,8,8,COCFLINT,ERAGMUNT
INCOME,PROFIT,0.632119656,79333,29161,6,6,ENCOIM,TROFIP
VAPOR,SMOKE,0.586417317,3828,43675,5,5,ORPVA,MOSKE
JEWELRY,NECKLACE,0.709219217,12902,6557,7,8,REJEWLY,CELENACK
OPINION,POLITICS,0.475332141,76414,91677,7,8,POINONI,PILTISCO
BOAT,FERRY,0.640370488,49454,7095,4,5,OTAB,FRERY
INJURY,BRUISE,0.429636836,35565,2193,6,6,JINURY,BRISUE
STUDENT,GRADUATE,0.70626384,147067,34203,7,8,SNUDETT,GUADTARE
NIGHT,DUSK,0.402310669,422240,5553,5,4,INGTH,SKUD
COLOR,BLUE,0.617567241,124814,111917,5,4,ORLOC,UBLE
DIFFICULTY,TROUBLE,0.651393414,24951,90942,10,7,DUFCILIFTY,BROUTLE
PERFORMER,ACTOR,0.580647409,5876,33211,9,5,PORRFERME,ACORT
CREATIVITY,IMAGINATION,0.762060881,14479,21769,10,11,VETICRAITY,MIGATAINION
CHILD,TODDLER,0.549441814,242330,5342,5,7,DILCH,TORDLED
HAT,BONNET,0.456737846,34200,1209,3,6,ATH,TENBON
PRIMATE,MONKEY,0.297230244,1348,11442,7,6,PERTIAM,NOMEKY
FOOD,CHOCOLATE,0.437229902,230238,26200,4,9,FODO,THECOLACO
PARTNER,WIFE,0.420517266,56916,182392,7,4,PARTREN,FEWI
CLOTH,LINEN,0.729994714,13252,4715,5,5,OLTCH,NELIN
ADVERTISEMENT,COMMERCIAL,0.691854179,12512,71874,13,10,ARMESVITEDENT,CARMMOCILE
ASSISTANT,SECRETARY,0.582337976,42838,72644,9,9,ANSISTAST,RECASTERY
MEAT,BEEF,0.805565059,42886,18179,4,4,ATME,FEBE
BREAD,TOAST,0.612805903,33222,11288,5,5,DREAB,TOTAS
SPEECH,LECTURE,0.525668442,82203,12212,6,7,PECESH,RECLUTE
CEREMONY,WEDDING,0.555938721,19150,44140,8,7,NECEMORY,WEDGIND
MEDICINE,ASPIRIN,0.483413339,50842,4050,8,7,DIMICENE,RAPISIN
BIRD,PARROT,0.702979267,38427,2467,4,6,DIRB,RATROP
TREE,OAK,0.548269331,70741,14942,4,3,ETER,OKA
DREAM,NIGHTMARE,0.633596718,78373,15005,5,9,EDMAR,MIGHEARNT
CONTRACT,LEASE,0.651986659,55659,7879,8,5,CANTROCT,ALESE
ODOR,SCENT,0.612023711,5778,10133,4,5,DROO,SNECT
CLEANER,SOAP,0.391559094,7187,12125,7,4,ELCANER,POSA
BEDDING,BLANKET,0.53446418,2433,13658,7,7,DEDBING,BLAKTEN
CITRUS,LEMON,0.754192829,3133,17281,6,5,TIRCUS,NELOM
COMPUTER,LAPTOP,0.625575364,108091,12229,8,6,ROPCUTEM,PAPOLT
WELFARE,HEALTH,0.593732953,35646,300566,7,6,RAWFELE,ELHATH
SIGN,POSTER,0.407526225,107132,10658,4,6,SNIG,SPETOR
EFFORT,STRUGGLE,0.525677025,98016,41867,6,8,FEFROT,TERSLUGG
WRITER,POET,0.697646618,58034,14650,6,4,RIRTEW,EPOT
STORY,MYTH,0.511469305,319604,16299,5,4,OSTRY,THYM
JACKET,BLAZER,0.671854198,25163,2187,6,6,CAKJET,BRAZLE
FRUIT,APPLE,0.673588574,33321,61123,5,5,FUTIR,PALEP
SPORT,FOOTBALL,0.609634221,41689,67599,5,8,STORP,FLOBOLAT
ILLNESS,DISEASE,0.756352544,26486,88773,7,7,SILLENS,SIDEESA
MESSAGE,MAIL,0.453145653,98505,33057,7,4,GEMSASE,MIAL
EXECUTIVE,PRESIDENT,0.654669464,74836,527325,9,9,EVICUTEXE,PRISTNEED
ROOM,KITCHEN,0.629103959,323082,71814,4,7,ORMO,KINCETH
PROFESSION,ENGINEERING,0.638818324,19267,33929,10,11,PRIEFSOSON,GENIREENING
CUSTOMER,SUBSCRIBER,0.588342428,33566,2702,8,10,RUSCOMET,BUBSCRISER
HERB,BASIL,0.653028786,6823,6949,4,5,BREH,SABIL
BUILDING,HOUSE,0.56515801,161834,500766,8,5,DIBILUNG,SOHUE
MONEY,DOLLAR,0.52445358,437215,35287,5,6,YOMEN,RALLOD
HOTEL,LODGE,0.61778301,68761,8254,5,5,THOLE,GOLED
FLOWER,DAISY,0.516459942,16256,6054,6,5,FLEROW,ASIDY
SOUP,BROTH,0.690683782,19314,6685,4,5,UPSO,THORB
TREATY,ALLIANCE,0.551628411,17056,22093,6,8,YERATT,CALANILE
LIQUOR,WHISKEY,0.673971713,8323,7356,6,7,QILOUR,HISYKEW
PASTA,SPAGHETTI,0.794323623,10239,3953,5,9,APAST,SHAGPETIT
APPLIANCE,OVEN,0.41418457,2196,20190,9,4,PAPLIANCE,VENO
SCIENCE,BIOLOGY,0.759781718,150491,16485,7,7,NESECIC,OILGOBY
DRINK,COFFEE,0.626320183,73839,69741,5,6,KRIND,OFFECE
FAILURE,ERROR,0.518399477,56298,31246,7,5,LAIFURE,RORER
