target_word,true_count
necklace,28
winner,6
apple,11
dollar,38
basil,13
dusk,17
myth,27
marriage,25
editorial,8
struggle,25
football,46
monkey,14
gown,29
imagination,39
oak,15
soap,19
scent,29
parrot,16
trouble,33
commercial,13
president,21
smoke,11
secretary,15
coffee,14
singer,9
graduate,12
subscriber,11
mail,19
disease,15
toast,15
argument,27
daisy,13
penny,19
lease,26
kidney,7
toddler,21
profit,17
blazer,13
coal,20
blanket,18
bruise,25
aspirin,37
nightmare,5
lodge,15
poet,4
alliance,8
whiskey,24
ferry,14
biology,49
bonnet,12
lecture,12
lemon,17
oven,16
kitchen,2
error,35
blue,27
health,20
poster,16
politics,4
spaghetti,13
circle,24
door,25
house,24
chocolate,40
laptop,40
wife,14
engineering,9
broth,14
beef,32
linen,29
wedding,16
actor,9
